date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newDeaths28DaysByDeathDate,cumDeaths28DaysByDeathDate,B.1.1.7,B.1.617.2,cumPeopleVaccinatedFirstDoseByVaccinationDate,cumPeopleVaccinatedSecondDoseByVaccinationDate
2020-04-14,0.04883599051139185,0.019529692739554915,0.6181672025723473,0.1384326440936232,0.0,0.0,0.0,0.0
2020-04-15,0.05815909968555194,0.020495867238413467,0.6286173633440515,0.1453604776838711,0.0,0.0,0.0,0.0
2020-04-16,0.05996579687758592,0.02149205569490789,0.6069131832797428,0.15204911497368842,0.0,0.0,0.0,0.0
2020-04-17,0.05610415402438352,0.022424092180882895,0.5964630225080386,0.15862258367440954,0.0,0.0,0.0,0.0
2020-04-18,0.056614442544270976,0.02336460589153368,0.567524115755627,0.1648771239745566,0.0,0.0,0.0,0.0
2020-04-19,0.047856788216472664,0.02415963209761364,0.5514469453376206,0.1709544818299403,0.0,0.0,0.0,0.0
2020-04-20,0.05069785402990015,0.025001855824861453,0.5506430868167203,0.1770229805630858,0.0,0.0,0.0,0.0
2020-04-21,0.05483532851547415,0.025912813806237223,0.522508038585209,0.18278141001789544,0.0,0.0,0.0,0.0
2020-04-22,0.06615821702432835,0.027011874529743143,0.5168810289389068,0.18847782561703785,0.0,0.0,0.0,0.0
2020-04-23,0.06279307110939482,0.028055031393225002,0.477491961414791,0.19374014422651004,0.0,0.0,0.0,0.0
2020-04-24,0.059938213714348765,0.029050761621358574,0.4847266881028939,0.19908219493612572,0.0,0.0,0.0,0.0
2020-04-25,0.046505213217851823,0.029823334637756733,0.44614147909967844,0.20399900777830932,0.0,0.0,0.0,0.0
2020-04-26,0.04322281679262978,0.030541378479213385,0.45016077170418006,0.20896011623168376,0.0,0.0,0.0,0.0
2020-04-27,0.0555662823412589,0.031464479512151755,0.4067524115755627,0.2134428320841971,0.0,0.0,0.0,0.0
2020-04-28,0.056628234125889555,0.03240522233698297,0.40112540192926044,0.21786353408104325,0.0,0.0,0.0,0.0
2020-04-29,0.06519280631102775,0.03348824506785904,0.3971061093247588,0.22223994046669857,0.0,0.0,0.0,0.0
2020-04-30,0.05938655044960556,0.03447481072877555,0.3890675241157556,0.22652775562997218,0.0,0.0,0.0,0.0
2020-05-01,0.056324819330280794,0.03541051304163738,0.385048231511254,0.23077127518205495,0.0,0.0,0.0,0.0
2020-05-02,0.037788933634909254,0.03603828589600599,0.3408360128617363,0.23452754301103845,0.0,0.0,0.0,0.0
2020-05-03,0.036285651238484026,0.03664108530470811,0.31189710610932475,0.2379648824394479,0.0,0.0,0.0,0.0
2020-05-04,0.039209466541622995,0.037292456919660655,0.3311897106109325,0.2416148408015734,0.0,0.0,0.0,0.0
2020-05-05,0.04323660837424836,0.03801072987529774,0.31511254019292606,0.24508761671893547,0.0,0.0,0.0,0.0
2020-05-06,0.04496055607657086,0.03875764210348812,0.3135048231511254,0.24854267439182126,0.0,0.0,0.0,0.0
2020-05-07,0.04418822750593038,0.039491723937574635,0.3207395498392283,0.25207746416485055,0.0,0.0,0.0,0.0
2020-05-08,0.03612015225906107,0.04009177397611164,0.2652733118971061,0.2550009745034462,0.0,0.0,0.0,0.0
2020-05-09,0.024728305842113975,0.040502575701616354,0.2652733118971061,0.25792448484204183,0.0,0.0,0.0,0.0
2020-05-10,0.027610746400397197,0.04096126229083021,0.24115755627009647,0.2605822215134924,0.0,0.0,0.0,0.0
2020-05-11,0.0422436144977106,0.04166303902547658,0.2090032154340836,0.2628855932954163,0.0,0.0,0.0,0.0
2020-05-12,0.040230043581397916,0.042331365089780686,0.22106109324758844,0.2653218519109127,0.0,0.0,0.0,0.0
2020-05-13,0.039774921387984774,0.04299213038613071,0.2057877813504823,0.2675897872038838,0.0,0.0,0.0,0.0
